"Population by Five Years Age Group","Number"
"0-4",""
"Female","828"
"Male","915"
"10-14",""
"Female","1228"
"Male","1250"
"15-19",""
"Female","1102"
"Male","1037"
"20-24",""
"Female","1112"
"Male","835"
"25-29",""
"Female","932"
"Male","805"
"30-34",""
"Female","700"
"Male","583"
"35-39",""
"Female","658"
"Male","523"
"40-44",""
"Female","578"
"Male","475"
"45-49",""
"Female","532"
"Male","472"
"50-54",""
"Female","463"
"Male","481"
"55-59",""
"Female","342"
"Male","332"
"5-9",""
"Female","1153"
"Male","1185"
"60-64",""
"Female","270"
"Male","255"
"65-69",""
"Female","229"
"Male","222"
"70-74",""
"Female","194"
"Male","175"
"75+",""
"Female","251"
"Male","220"
