"Population by Caste/Ethinicity","Number"
"Badi",""
"Female","7"
"Male","7"
"Brahman - Hill",""
"Female","871"
"Male","827"
"Chhetri",""
"Female","3982"
"Male","3856"
"Dalit Others",""
"Female","36"
"Male","31"
"Damai/Dholi",""
"Female","180"
"Male","181"
"Gurung",""
"Female","61"
"Male","54"
"Kami",""
"Female","818"
"Male","789"
"Lohar",""
"Female","39"
"Male","31"
"Magar",""
"Female","2437"
"Male","2458"
"Others",""
"Female","26"
"Male","37"
"Rai",""
"Female","9"
"Male","10"
"Sanyasi/Dasnami",""
"Female","34"
"Male","28"
"Sarki",""
"Female","276"
"Male","257"
"Sherpa",""
"Female","6"
"Male","5"
"Tamang",""
"Female","125"
"Male","132"
"Thakuri",""
"Female","688"
"Male","626"
