"Population by Mother tongue","Number"
"Bhojpuri",""
"Female","8"
"Male","23"
"","31"
"Gurung",""
"Female","10"
"Male","9"
"","19"
"Hyolmo/Yholmo",""
"Female","27"
"Male","25"
"","52"
"Magar",""
"Female","26"
"Male","46"
"","72"
"Maithili",""
"Female","8"
"Male","37"
"","45"
"Nepali",""
"Female","4150"
"Male","4446"
"","8596"
"Newar",""
"Female","407"
"Male","467"
"","874"
"Others",""
"Female","19"
"Male","20"
"","39"
"Sherpa",""
"Female","2369"
"Male","2277"
"","4646"
"Tamang",""
"Female","972"
"Male","1030"
"","2002"
"Thami",""
"Female","29"
"Male","43"
"","72"
"Tibetan",""
"Female","175"
"Male","8"
"","183"
