"Population by Single Year of Age","Number"
"0",""
"Female","4691"
"Male","4891"
"1",""
"Female","4669"
"Male","4703"
"10",""
"Female","11020"
"Male","12027"
"11",""
"Female","4765"
"Male","4709"
"12",""
"Female","8838"
"Male","9772"
"13",""
"Female","5194"
"Male","5504"
"14",""
"Female","6431"
"Male","7250"
"15",""
"Female","5939"
"Male","7107"
"16",""
"Female","6416"
"Male","7775"
"17",""
"Female","3907"
"Male","4870"
"18",""
"Female","6822"
"Male","8648"
"19",""
"Female","2666"
"Male","3382"
"2",""
"Female","7449"
"Male","7513"
"20",""
"Female","8361"
"Male","8892"
"21",""
"Female","2644"
"Male","3102"
"22",""
"Female","5935"
"Male","6482"
"23",""
"Female","4095"
"Male","3435"
"24",""
"Female","4291"
"Male","4095"
"25",""
"Female","8396"
"Male","9647"
"26",""
"Female","3966"
"Male","3916"
"27",""
"Female","2892"
"Male","3282"
"28",""
"Female","7176"
"Male","6196"
"29",""
"Female","1270"
"Male","1623"
"3",""
"Female","8366"
"Male","8440"
"30",""
"Female","10141"
"Male","10703"
"31",""
"Female","1128"
"Male","1305"
"32",""
"Female","5054"
"Male","5000"
"33",""
"Female","3012"
"Male","1836"
"34",""
"Female","2495"
"Male","1917"
"35",""
"Female","8378"
"Male","11311"
"36",""
"Female","2582"
"Male","2787"
"37",""
"Female","1575"
"Male","1633"
"38",""
"Female","5066"
"Male","3750"
"39",""
"Female","843"
"Male","933"
"4",""
"Female","8358"
"Male","8763"
"40",""
"Female","8186"
"Male","10601"
"41",""
"Female","778"
"Male","945"
"42",""
"Female","2687"
"Male","2989"
"43",""
"Female","1869"
"Male","1091"
"44",""
"Female","1187"
"Male","988"
"45",""
"Female","6118"
"Male","8393"
"46",""
"Female","1240"
"Male","1175"
"47",""
"Female","960"
"Male","999"
"48",""
"Female","3007"
"Male","2312"
"49",""
"Female","553"
"Male","632"
"5",""
"Female","9435"
"Male","10376"
"50",""
"Female","5509"
"Male","7194"
"51",""
"Female","529"
"Male","779"
"52",""
"Female","1469"
"Male","1707"
"53",""
"Female","1176"
"Male","715"
"54",""
"Female","717"
"Male","631"
"55",""
"Female","4359"
"Male","5378"
"56",""
"Female","776"
"Male","914"
"57",""
"Female","576"
"Male","670"
"58",""
"Female","1931"
"Male","1301"
"59",""
"Female","363"
"Male","476"
"6",""
"Female","9176"
"Male","9646"
"60",""
"Female","4636"
"Male","5674"
"61",""
"Female","395"
"Male","522"
"62",""
"Female","1066"
"Male","1077"
"63",""
"Female","624"
"Male","416"
"64",""
"Female","345"
"Male","332"
"65",""
"Female","3597"
"Male","3898"
"66",""
"Female","427"
"Male","374"
"67",""
"Female","362"
"Male","403"
"68",""
"Female","911"
"Male","975"
"69",""
"Female","155"
"Male","266"
"7",""
"Female","7309"
"Male","7428"
"70",""
"Female","2401"
"Male","3207"
"71",""
"Female","199"
"Male","250"
"72",""
"Female","520"
"Male","602"
"73",""
"Female","216"
"Male","159"
"74",""
"Female","107"
"Male","133"
"75",""
"Female","1025"
"Male","1220"
"76",""
"Female","108"
"Male","150"
"77",""
"Female","84"
"Male","103"
"78",""
"Female","143"
"Male","205"
"79",""
"Female","30"
"Male","66"
"8",""
"Female","10493"
"Male","11418"
"80",""
"Female","463"
"Male","524"
"81",""
"Female","27"
"Male","35"
"82",""
"Female","49"
"Male","74"
"83",""
"Female","32"
"Male","24"
"84",""
"Female","38"
"Male","38"
"85",""
"Female","488"
"Male","488"
"9",""
"Female","4977"
"Male","5186"
