"Agricultural land use area","Hectare"
"Area under arable land","46689.79"
"Area under meadows and pasture","82.04"
"Area under permanent crops","686.74"
"Area under Temporary crops","46206.12"
"Area under temporary fallow","432.21"
"Area under temporary meadows","51.46"
"Other land","1270.70"
"Ponds","60.68"
"Woodland and forest","108.79"
