"Population by Five Years Age Group","Number"
"0-4",""
"Female","33533"
"Male","34310"
"10-14",""
"Female","36248"
"Male","39262"
"15-19",""
"Female","25750"
"Male","31782"
"20-24",""
"Female","25326"
"Male","26006"
"25-29",""
"Female","23700"
"Male","24664"
"30-34",""
"Female","21830"
"Male","20761"
"35-39",""
"Female","18444"
"Male","20414"
"40-44",""
"Female","14707"
"Male","16614"
"45-49",""
"Female","11878"
"Male","13511"
"50-54",""
"Female","9400"
"Male","11026"
"55-59",""
"Female","8005"
"Male","8739"
"5-9",""
"Female","41390"
"Male","44054"
"60-64",""
"Female","7066"
"Male","8021"
"65-69",""
"Female","5452"
"Male","5916"
"70-74",""
"Female","3443"
"Male","4351"
"75+",""
"Female","2487"
"Male","2927"
