"Population by Five Years Age Group","Number"
"0-4",""
"Female","993"
"Male","1065"
"10-14",""
"Female","1174"
"Male","1229"
"15-19",""
"Female","1221"
"Male","1130"
"20-24",""
"Female","900"
"Male","613"
"25-29",""
"Female","674"
"Male","485"
"30-34",""
"Female","532"
"Male","411"
"35-39",""
"Female","498"
"Male","451"
"40-44",""
"Female","486"
"Male","474"
"45-49",""
"Female","464"
"Male","406"
"50-54",""
"Female","420"
"Male","410"
"55-59",""
"Female","280"
"Male","294"
"5-9",""
"Female","1184"
"Male","1185"
"60-64",""
"Female","287"
"Male","293"
"65-69",""
"Female","234"
"Male","232"
"70-74",""
"Female","151"
"Male","177"
"75+",""
"Female","214"
"Male","210"
