"Population by Caste/Ethinicity","Number"
"Badi",""
"Female","21"
"Male","19"
"Bantaba",""
"Female","8"
"Male","3"
"Brahman - Hill",""
"Female","50"
"Male","54"
"Chhetri",""
"Female","2271"
"Male","2129"
"Damai/Dholi",""
"Female","241"
"Male","230"
"Gharti/Bhujel",""
"Female","65"
"Male","62"
"Hayu",""
"Female","8"
"Male","5"
"Kami",""
"Female","613"
"Male","581"
"Khawas",""
"Female","16"
"Male","17"
"Magar",""
"Female","942"
"Male","843"
"Newar",""
"Female","998"
"Male","960"
"Others",""
"Female","15"
"Male","22"
"Rai",""
"Female","3866"
"Male","3563"
"Sanyasi/Dasnami",""
"Female","8"
"Male","10"
"Sarki",""
"Female","94"
"Male","82"
"Sherpa",""
"Female","298"
"Male","244"
"Tamang",""
"Female","192"
"Male","179"
"Undefined Others",""
"Female","6"
"Male","5"
