"Population by Five Years Age Group","Number"
"0-4",""
"Female","969"
"Male","1032"
"10-14",""
"Female","1300"
"Male","1207"
"15-19",""
"Female","880"
"Male","804"
"20-24",""
"Female","599"
"Male","414"
"25-29",""
"Female","544"
"Male","338"
"30-34",""
"Female","515"
"Male","302"
"35-39",""
"Female","448"
"Male","280"
"40-44",""
"Female","419"
"Male","298"
"45-49",""
"Female","356"
"Male","255"
"50-54",""
"Female","300"
"Male","217"
"55-59",""
"Female","236"
"Male","212"
"5-9",""
"Female","1266"
"Male","1231"
"60-64",""
"Female","327"
"Male","201"
"65-69",""
"Female","224"
"Male","165"
"70-74",""
"Female","218"
"Male","115"
"75+",""
"Female","142"
"Male","89"
