"Population by Caste/Ethinicity","Number"
"Badi",""
"Female","54"
"Male","39"
"Bangali",""
"Female","27"
"Male","23"
"Brahman - Hill",""
"Female","1185"
"Male","953"
"Chhetri",""
"Female","5021"
"Male","4163"
"Dalit Others",""
"Female","83"
"Male","70"
"Damai/Dholi",""
"Female","143"
"Male","116"
"Kami",""
"Female","964"
"Male","738"
"Newar",""
"Female","25"
"Male","19"
"Others",""
"Female","13"
"Male","15"
"Rajput",""
"Female","8"
"Male","13"
"Sanyasi/Dasnami",""
"Female","242"
"Male","210"
"Sarki",""
"Female","291"
"Male","238"
"Terai Others",""
"Female","17"
"Male","9"
"Thakuri",""
"Female","670"
"Male","544"
