"Population by Mother tongue","Number"
"Avadhi",""
"Female","8"
"Male","3"
"","11"
"Bhojpuri",""
"Female","16"
"Male","33"
"","49"
"Hindi",""
"Female","8"
"Male","27"
"","35"
"Magar",""
"Female","11"
"Male","8"
"","19"
"Maithili",""
"Female","32"
"Male","46"
"","78"
"Nepali",""
"Female","17131"
"Male","14837"
"","31968"
"Newar",""
"Female","3406"
"Male","3162"
"","6568"
"Not Reported",""
"Female","69"
"Male","56"
"","125"
"Others",""
"Female","17"
"Male","24"
"","41"
"Rai",""
"Female","8"
"Male","9"
"","17"
"Tamang",""
"Female","4051"
"Male","3568"
"","7619"
"Thami",""
"Female","14"
"Male","20"
"","34"
"Tharu",""
"Female","9"
"Male","6"
"","15"
"Urdu",""
"Female","7"
"Male","9"
"","16"
