"Agricultural land use area","Hectare"
"Area under arable land","188985.00"
"Area under meadows and pasture","2492.00"
"Area under permanent crops","13041.00"
"Area under Temporary crops","185653.00"
"Area under temporary fallow","2665.00"
"Area under temporary meadows","667.00"
"Other land","10666.00"
"Ponds","84.00"
"Woodland and forest","2162.00"
"Total","406415.00"
