"Number of households by type of outer wall","Number"
"BambooWall","44004"
"Cement Bonded Bricks/Stone Wall","75610"
"Mud Bonded Bricks/Stone Wall","254211"
"Not Stated about Wall","4075"
"Other Type Wall","16224"
"Unbaked Bricks","2033"
"Wood/Planks","73546"
"Total","469703"
