"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas Fuel","15651"
"Cow Dung","758"
"Electricity Fuel","90"
"KeroseneFuel","2452"
"LP Gas","19422"
"Not Sated about Fuel","2745"
"OthersFuel","735"
"Wood/FireWood","427850"
"Total","469703"
