"Number of Households by Type of Roof","Number"
"Galvanized Iron Plate","41860"
"Mud Roof","2328"
"Not Sated Roof","4671"
"Other Type of Roof","2756"
"RCC Roof","50209"
"Thatch/Straw Roof","62422"
"Tile/Slate Roof","303202"
"Wood/Planks Roof","2255"
"Total","469703"
