"Population by Five Years Age Group","Number"
"0-4",""
"Female","1897"
"Male","1939"
"10-14",""
"Female","1881"
"Male","1929"
"15-19",""
"Female","1392"
"Male","1432"
"20-24",""
"Female","1062"
"Male","976"
"25-29",""
"Female","936"
"Male","852"
"30-34",""
"Female","718"
"Male","655"
"35-39",""
"Female","699"
"Male","662"
"40-44",""
"Female","587"
"Male","562"
"45-49",""
"Female","429"
"Male","452"
"50-54",""
"Female","363"
"Male","380"
"55-59",""
"Female","306"
"Male","389"
"5-9",""
"Female","2008"
"Male","2037"
"60-64",""
"Female","339"
"Male","309"
"65-69",""
"Female","220"
"Male","219"
"70-74",""
"Female","149"
"Male","137"
"75+",""
"Female","103"
"Male","130"
