"Population by Five Years Age Group","Number"
"0-4",""
"Female","38224"
"Male","41542"
"10-14",""
"Female","56754"
"Male","59289"
"15-19",""
"Female","50040"
"Male","52118"
"20-24",""
"Female","45590"
"Male","37682"
"25-29",""
"Female","41433"
"Male","32610"
"30-34",""
"Female","33848"
"Male","26907"
"35-39",""
"Female","28838"
"Male","25152"
"40-44",""
"Female","23517"
"Male","21506"
"45-49",""
"Female","18864"
"Male","18489"
"50-54",""
"Female","15816"
"Male","16194"
"55-59",""
"Female","12830"
"Male","13071"
"5-9",""
"Female","50051"
"Male","53648"
"60-64",""
"Female","11497"
"Male","11593"
"65-69",""
"Female","8337"
"Male","9041"
"70-74",""
"Female","5856"
"Male","6439"
"75+",""
"Female","6508"
"Male","6912"
