"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas","5171"
"Cow Dung","42519"
"Electricity","43"
"Kerosene","2005"
"LP Gas","56066"
"Not stated","1254"
"Others","513"
"Wood/Firewood","56264"
"Total","163835"
