"Agricultural land use area","Hectare"
"Area under arable land","66275.55"
"Area under meadows and pasture","118.45"
"Area under permanent crops","677.77"
"Area under Temporary crops","65795.81"
"Area under temporary fallow","417.62"
"Area under temporary meadows","62.12"
"Other land","3441.67"
"Ponds","546.29"
"Woodland and forest","128.28"
