"Number of households by type of outer wall","Number"
"BambooWall","7380"
"Cement Bonded Bricks/Stone Wall","100397"
"Mud Bonded Bricks/Stone Wall","36760"
"Not stated","2225"
"Others","10631"
"Unbaked Bricks","2291"
"Wood/Planks","4151"
"Total","163835"
