"Population by Single Year of Age","Number"
"0",""
"Female","6982"
"Male","7893"
"1",""
"Female","6016"
"Male","6666"
"10",""
"Female","13847"
"Male","14930"
"11",""
"Female","8368"
"Male","8702"
"12",""
"Female","13023"
"Male","14034"
"13",""
"Female","10217"
"Male","10301"
"14",""
"Female","11299"
"Male","11322"
"15",""
"Female","10804"
"Male","11020"
"16",""
"Female","11393"
"Male","11745"
"17",""
"Female","8757"
"Male","9312"
"18",""
"Female","11812"
"Male","12991"
"19",""
"Female","7274"
"Male","7050"
"2",""
"Female","8064"
"Male","8450"
"20",""
"Female","11724"
"Male","10991"
"21",""
"Female","6674"
"Male","6202"
"22",""
"Female","10115"
"Male","8796"
"23",""
"Female","8044"
"Male","5439"
"24",""
"Female","9033"
"Male","6254"
"25",""
"Female","11067"
"Male","9708"
"26",""
"Female","8047"
"Male","5988"
"27",""
"Female","6644"
"Male","5198"
"28",""
"Female","11219"
"Male","8119"
"29",""
"Female","4456"
"Male","3597"
"3",""
"Female","8580"
"Male","9165"
"30",""
"Female","12673"
"Male","10912"
"31",""
"Female","3398"
"Male","3057"
"32",""
"Female","7489"
"Male","6298"
"33",""
"Female","5324"
"Male","3288"
"34",""
"Female","4964"
"Male","3352"
"35",""
"Female","10461"
"Male","10705"
"36",""
"Female","4757"
"Male","3990"
"37",""
"Female","3288"
"Male","2815"
"38",""
"Female","7590"
"Male","5297"
"39",""
"Female","2742"
"Male","2345"
"4",""
"Female","8582"
"Male","9368"
"40",""
"Female","10274"
"Male","10603"
"41",""
"Female","2178"
"Male","2059"
"42",""
"Female","4476"
"Male","4405"
"43",""
"Female","3824"
"Male","2326"
"44",""
"Female","2765"
"Male","2113"
"45",""
"Female","7123"
"Male","8791"
"46",""
"Female","2831"
"Male","2413"
"47",""
"Female","2088"
"Male","1854"
"48",""
"Female","4976"
"Male","3852"
"49",""
"Female","1846"
"Male","1579"
"5",""
"Female","10468"
"Male","11297"
"50",""
"Female","7073"
"Male","8050"
"51",""
"Female","1627"
"Male","1794"
"52",""
"Female","2731"
"Male","3043"
"53",""
"Female","2393"
"Male","1776"
"54",""
"Female","1992"
"Male","1531"
"55",""
"Female","4756"
"Male","5844"
"56",""
"Female","2029"
"Male","2024"
"57",""
"Female","1551"
"Male","1572"
"58",""
"Female","3245"
"Male","2403"
"59",""
"Female","1249"
"Male","1228"
"6",""
"Female","9751"
"Male","10436"
"60",""
"Female","5869"
"Male","6388"
"61",""
"Female","1169"
"Male","1265"
"62",""
"Female","1832"
"Male","1818"
"63",""
"Female","1484"
"Male","1086"
"64",""
"Female","1143"
"Male","1036"
"65",""
"Female","4033"
"Male","4648"
"66",""
"Female","877"
"Male","866"
"67",""
"Female","954"
"Male","947"
"68",""
"Female","1932"
"Male","1876"
"69",""
"Female","541"
"Male","704"
"7",""
"Female","9387"
"Male","10028"
"70",""
"Female","3454"
"Male","3763"
"71",""
"Female","445"
"Male","553"
"72",""
"Female","961"
"Male","1114"
"73",""
"Female","612"
"Male","585"
"74",""
"Female","384"
"Male","424"
"75",""
"Female","1850"
"Male","2003"
"76",""
"Female","392"
"Male","448"
"77",""
"Female","303"
"Male","391"
"78",""
"Female","633"
"Male","578"
"79",""
"Female","200"
"Male","267"
"8",""
"Female","12553"
"Male","13384"
"80",""
"Female","1131"
"Male","1155"
"81",""
"Female","153"
"Male","195"
"82",""
"Female","252"
"Male","258"
"83",""
"Female","171"
"Male","171"
"84",""
"Female","216"
"Male","200"
"85",""
"Female","1207"
"Male","1246"
"9",""
"Female","7892"
"Male","8503"
