"Agricultural land use area","Hectare"
"Area under arable land","67055.00"
"Area under meadows and pasture","1312.00"
"Area under permanent crops","2315.00"
"Area under Temporary crops","66902.00"
"Area under temporary fallow","140.00"
"Area under temporary meadows","13.00"
"Other land","2821.00"
"Ponds","356.00"
"Woodland and forest","48.00"
"Total","140962.00"
