"Population by Mother tongue","Number"
"Bahing",""
"Female","89"
"Male","80"
"","169"
"Bangla",""
"Female","63"
"Male","58"
"","121"
"Bantawa",""
"Female","10"
"Male","6"
"","16"
"Bhojpuri",""
"Female","282"
"Male","245"
"","527"
"Bhujel",""
"Female","180"
"Male","188"
"","368"
"Danuwar",""
"Female","234"
"Male","192"
"","426"
"Doteli",""
"Female","82"
"Male","85"
"","167"
"Ghale",""
"Female","157"
"Male","177"
"","334"
"Gurung",""
"Female","9"
"Male","17"
"","26"
"Hindi",""
"Female","263"
"Male","270"
"","533"
"Lapcha",""
"Female","14"
"Male","20"
"","34"
"Limbu",""
"Female","185"
"Male","154"
"","339"
"Magahi",""
"Female","470"
"Male","440"
"","910"
"Magar",""
"Female","808"
"Male","695"
"","1503"
"Maithili",""
"Female","254799"
"Male","250529"
"","505328"
"Meche",""
"Female","88"
"Male","89"
"","177"
"Mewahang",""
"Female","7"
"Male","8"
"","15"
"Musalman",""
"Female","156"
"Male","129"
"","285"
"Nepali",""
"Female","13496"
"Male","12216"
"","25712"
"Newar",""
"Female","476"
"Male","397"
"","873"
"Not Reported",""
"Female","2010"
"Male","1866"
"","3876"
"Others",""
"Female","425"
"Male","323"
"","748"
"Rai",""
"Female","555"
"Male","506"
"","1061"
"Rajsthani",""
"Female","278"
"Male","284"
"","562"
"Sunuwar",""
"Female","804"
"Male","733"
"","1537"
"Tamang",""
"Female","573"
"Male","626"
"","1199"
"Tharu",""
"Female","35768"
"Male","30660"
"","66428"
"Thulung",""
"Female","23"
"Male","19"
"","42"
"Urdu",""
"Female","12962"
"Male","11544"
"","24506"
"Yakkha",""
"Female","11"
"Male","11"
"","22"
