"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas Fuel","390"
"Cow Dung","70462"
"Electricity Fuel","39"
"KeroseneFuel","2101"
"LP Gas","5015"
"Not Sated about Fuel","1699"
"OthersFuel","151"
"Wood/FireWood","41207"
"Total","121064"
