"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas Fuel","4"
"Cow Dung","2"
"Electricity Fuel","3"
"KeroseneFuel","8"
"LP Gas","280"
"Not Sated about Fuel","21"
"OthersFuel","11"
"Wood/FireWood","5328"
"Total","5657"
