"Agricultural land use area","Hectare"
"Area under arable land","367.00"
"Area under meadows and pasture","31.00"
"Area under permanent crops","27.00"
"Area under Temporary crops","330.00"
"Area under temporary fallow","32.00"
"Area under temporary meadows","4.00"
"Other land","25.00"
"Ponds","0.00"
"Woodland and forest","23.00"
"Total","839.00"
