"Population by Mother tongue","Number"
"Bhojpuri",""
"Female","3"
"Male","9"
"","12"
"Bote",""
"Female","6"
"Male","7"
"","13"
"Gurung",""
"Female","1806"
"Male","1825"
"","3631"
"Kham",""
"Female","12"
"Male","10"
"","22"
"Magar",""
"Female","30"
"Male","42"
"","72"
"Nepali",""
"Female","376"
"Male","570"
"","946"
"Newar",""
"Female","23"
"Male","27"
"","50"
"Others",""
"Female","39"
"Male","57"
"","96"
"Rai",""
"Female","8"
"Male","5"
"","13"
"Sherpa",""
"Female","245"
"Male","186"
"","431"
"Sign Language",""
"Female","9"
"Male","8"
"","17"
"Tamang",""
"Female","235"
"Male","239"
"","474"
"Thakali",""
"Female","20"
"Male","30"
"","50"
