"Population by Five Years Age Group","Number"
"0-4",""
"Female","1298"
"Male","1362"
"10-14",""
"Female","1660"
"Male","1688"
"15-19",""
"Female","1356"
"Male","1160"
"20-24",""
"Female","1045"
"Male","620"
"25-29",""
"Female","858"
"Male","446"
"30-34",""
"Female","720"
"Male","505"
"35-39",""
"Female","687"
"Male","498"
"40-44",""
"Female","545"
"Male","450"
"45-49",""
"Female","486"
"Male","440"
"50-54",""
"Female","396"
"Male","391"
"55-59",""
"Female","323"
"Male","302"
"5-9",""
"Female","1645"
"Male","1664"
"60-64",""
"Female","362"
"Male","284"
"65-69",""
"Female","297"
"Male","217"
"70-74",""
"Female","188"
"Male","191"
"75+",""
"Female","245"
"Male","216"
