"Population by Caste/Ethinicity","Number"
"Brahman - Hill",""
"Female","2735"
"Male","2419"
"Chhetri",""
"Female","3186"
"Male","2865"
"Damai/Dholi",""
"Female","465"
"Male","412"
"Dhanuk",""
"Female","11"
"Male","7"
"Gurung",""
"Female","213"
"Male","191"
"Kami",""
"Female","522"
"Male","468"
"Kathabaniyan",""
"Female","480"
"Male","441"
"Lohar",""
"Female","1901"
"Male","1564"
"Others",""
"Female","17"
"Male","7"
"Sanyasi/Dasnami",""
"Female","13"
"Male","9"
"Sarki",""
"Female","100"
"Male","105"
"Sudhi",""
"Female","520"
"Male","448"
"Terai Others",""
"Female","10"
"Male","8"
"Thakuri",""
"Female","1901"
"Male","1471"
"Undefined Others",""
"Female","37"
"Male","19"
