"Population by Five Years Age Group","Number"
"0-4",""
"Female","5420"
"Male","5875"
"10-14",""
"Female","8936"
"Male","9498"
"15-19",""
"Female","9274"
"Male","8976"
"20-24",""
"Female","8888"
"Male","7588"
"25-29",""
"Female","7430"
"Male","6347"
"30-34",""
"Female","5937"
"Male","5359"
"35-39",""
"Female","5308"
"Male","4860"
"40-44",""
"Female","4659"
"Male","4489"
"45-49",""
"Female","3880"
"Male","3846"
"50-54",""
"Female","3123"
"Male","3563"
"55-59",""
"Female","2201"
"Male","2499"
"5-9",""
"Female","7025"
"Male","7693"
"60-64",""
"Female","1826"
"Male","1920"
"65-69",""
"Female","1493"
"Male","1497"
"70-74",""
"Female","1110"
"Male","994"
"75+",""
"Female","1639"
"Male","1507"
