"Population by Caste/Ethinicity","Number"
"Brahman - Hill",""
"Female","1255"
"Male","1080"
"Chhetri",""
"Female","2224"
"Male","1812"
"Damai/Dholi",""
"Female","540"
"Male","489"
"Gharti/Bhujel",""
"Female","396"
"Male","346"
"Hayu",""
"Female","145"
"Male","140"
"Kami",""
"Female","464"
"Male","402"
"Magar",""
"Female","1506"
"Male","1351"
"Majhi",""
"Female","221"
"Male","205"
"Newar",""
"Female","1233"
"Male","1104"
"Others",""
"Female","16"
"Male","27"
"Rai",""
"Female","39"
"Male","32"
"Sanyasi/Dasnami",""
"Female","204"
"Male","149"
"Sarki",""
"Female","1021"
"Male","832"
"Sunuwar",""
"Female","66"
"Male","71"
"Tamang",""
"Female","2102"
"Male","1912"
"Thakuri",""
"Female","53"
"Male","36"
