"Agricultural land use area","Hectare"
"Area under arable land","17836.00"
"Area under meadows and pasture","629.00"
"Area under permanent crops","6616.00"
"Area under Temporary crops","17165.00"
"Area under temporary fallow","503.00"
"Area under temporary meadows","168.00"
"Other land","1520.00"
"Ponds","5.00"
"Woodland and forest","2120.00"
"Total","46562.00"
