"Number of households by type of outer wall","Number"
"BambooWall","3768"
"Cement Bonded Bricks/Stone Wall","1859"
"Mud Bonded Bricks/Stone Wall","33219"
"Not Stated about Wall","189"
"Other Type Wall","271"
"Unbaked Bricks","24"
"Wood/Planks","1846"
"Total","41176"
