"Number of Households by Type of Roof","Number"
"Galvanized Iron Plate","17521"
"Mud Roof","1"
"Not Sated Roof","202"
"Other Type of Roof","766"
"RCC Roof","803"
"Thatch/Straw Roof","21404"
"Tile/Slate Roof","248"
"Wood/Planks Roof","231"
"Total","41176"
