"Population by Five Years Age Group","Number"
"0-4",""
"Female","1964"
"Male","1971"
"10-14",""
"Female","2829"
"Male","2673"
"15-19",""
"Female","1635"
"Male","1929"
"20-24",""
"Female","1505"
"Male","1250"
"25-29",""
"Female","1635"
"Male","1112"
"30-34",""
"Female","1422"
"Male","902"
"35-39",""
"Female","1357"
"Male","938"
"40-44",""
"Female","1109"
"Male","943"
"45-49",""
"Female","918"
"Male","819"
"50-54",""
"Female","666"
"Male","793"
"55-59",""
"Female","638"
"Male","645"
"5-9",""
"Female","2656"
"Male","2774"
"60-64",""
"Female","607"
"Male","673"
"65-69",""
"Female","426"
"Male","480"
"70-74",""
"Female","275"
"Male","311"
"75+",""
"Female","172"
"Male","189"
