"Number of households by type of outer wall","Number"
"BambooWall","4905"
"Cement Bonded Bricks/Stone Wall","1357"
"Mud Bonded Bricks/Stone Wall","190"
"Not stated","155"
"Others","4"
"Unbaked Bricks","14"
"Wood/Planks","287"
"Total","6912"
