"Population by Religion","Number"
"Bahai","0"
"Bon","0"
"Buddism","253"
"Christianity","15"
"Hindu","45858"
"Islam","2712"
"Jainism","0"
"Kirat","116"
"Prakriti","0"
"Sikhism","6"
"Undefined","171"
"Total","49131"
