"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas","6"
"Cow Dung","2963"
"Electricity","0"
"Kerosene","69"
"LP Gas","10"
"Not stated","50"
"Others","3"
"Wood/Firewood","875"
"Total","3976"
