"Population by Caste/Ethinicity","Number"
"Badi",""
"Female","39"
"Male","34"
"Brahman - Hill",""
"Female","2106"
"Male","1671"
"Chhantyal/Chhantel",""
"Female","11"
"Male","3"
"Chhetri",""
"Female","7004"
"Male","5339"
"Damai/Dholi",""
"Female","554"
"Male","427"
"Gharti/Bhujel",""
"Female","93"
"Male","65"
"Kami",""
"Female","2215"
"Male","1644"
"Kori",""
"Female","7"
"Male","7"
"Kumal",""
"Female","104"
"Male","72"
"Magar",""
"Female","1772"
"Male","1363"
"Musalman",""
"Female","13"
"Male","9"
"Newar",""
"Female","251"
"Male","206"
"Others",""
"Female","26"
"Male","19"
"Sanyasi/Dasnami",""
"Female","959"
"Male","764"
"Sarki",""
"Female","636"
"Male","480"
"Terai Others",""
"Female","24"
"Male","14"
