"Population by Caste Ethinicity","Number"
"Brahman - Hill",""
"Female","181"
"Male","200"
"","381"
"Chhetri",""
"Female","2729"
"Male","2485"
"","5214"
"Damai/Dholi",""
"Female","309"
"Male","275"
"","584"
"Gharti/Bhujel",""
"Female","67"
"Male","80"
"","147"
"Gurung",""
"Female","27"
"Male","14"
"","41"
"Kalwar",""
"Female","12"
"Male","7"
"","19"
"Kami",""
"Female","523"
"Male","490"
"","1013"
"Kathabaniyan",""
"Female","17"
"Male","30"
"","47"
"Limbu",""
"Female","9"
"Male","4"
"","13"
"Magar",""
"Female","3373"
"Male","3023"
"","6396"
"Majhi",""
"Female","31"
"Male","36"
"","67"
"Newar",""
"Female","278"
"Male","276"
"","554"
"Others",""
"Female","42"
"Male","40"
"","82"
"Rai",""
"Female","2465"
"Male","2228"
"","4693"
"Sanyasi/Dasnami",""
"Female","9"
"Male","4"
"","13"
"Sarki",""
"Female","494"
"Male","451"
"","945"
"Sherpa",""
"Female","129"
"Male","99"
"","228"
"Sudhi",""
"Female","35"
"Male","31"
"","66"
"Tamang",""
"Female","1314"
"Male","1189"
"","2503"
"Teli",""
"Female","8"
"Male","15"
"","23"
"Thakuri",""
"Female","240"
"Male","183"
"","423"
"Tharu",""
"Female","8"
"Male","9"
"","17"
"Yadav",""
"Female","2"
"Male","10"
"","12"
