"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas Fuel","9"
"Cow Dung","9"
"Electricity Fuel","18"
"KeroseneFuel","754"
"LP Gas","18168"
"Not Sated about Fuel","119"
"OthersFuel","84"
"Wood/FireWood","1141"
"Total","20302"
