"Population by Mother tongue","Number"
"Chamling",""
"Female","9"
"Male","8"
"Doteli",""
"Female","21"
"Male","18"
"Limbu",""
"Female","71"
"Male","67"
"Magar",""
"Female","926"
"Male","908"
"Maithili",""
"Female","17631"
"Male","17306"
"Nepali",""
"Female","2640"
"Male","2567"
"Newar",""
"Female","75"
"Male","82"
"Not Reported",""
"Female","176"
"Male","173"
"Others",""
"Female","49"
"Male","31"
"Rai",""
"Female","102"
"Male","92"
"Sunuwar",""
"Female","25"
"Male","22"
"Tamang",""
"Female","1126"
"Male","1074"
"Tharu",""
"Female","1031"
"Male","953"
"Urdu",""
"Female","137"
"Male","129"
