"Population by Five Years Age Group","Number"
"0-4",""
"Female","2320"
"Male","2381"
"10-14",""
"Female","3149"
"Male","3216"
"15-19",""
"Female","2392"
"Male","2561"
"20-24",""
"Female","2043"
"Male","1850"
"25-29",""
"Female","2000"
"Male","1571"
"30-34",""
"Female","1805"
"Male","1368"
"35-39",""
"Female","1627"
"Male","1475"
"40-44",""
"Female","1320"
"Male","1239"
"45-49",""
"Female","1044"
"Male","1145"
"50-54",""
"Female","836"
"Male","887"
"55-59",""
"Female","779"
"Male","809"
"5-9",""
"Female","3025"
"Male","3078"
"60-64",""
"Female","720"
"Male","779"
"65-69",""
"Female","414"
"Male","466"
"70-74",""
"Female","279"
"Male","329"
"75+",""
"Female","266"
"Male","276"
