"Population by Religion","Number"
"Bahai","7"
"Bon","0"
"Buddism","2554"
"Christianity","2756"
"Hindu","140668"
"Islam","2235"
"Jainism","23"
"Kirat","68"
"Prakriti","1472"
"Sikhism","7"
"Undefined","28"
"Total","149818"
