"Number of households by type of outer wall","Number"
"BambooWall","3500"
"Cement Bonded Bricks/Stone Wall","13714"
"Mud Bonded Bricks/Stone Wall","4043"
"Not Stated about Wall","205"
"Other Type Wall","503"
"Unbaked Bricks","93"
"Wood/Planks","7085"
"Total","29143"
