"Population by Caste Ethinicity","Number"
"Badhaee",""
"Female","28"
"Male","29"
"","57"
"Badi",""
"Female","101"
"Male","100"
"","201"
"Bangali",""
"Female","23"
"Male","21"
"","44"
"Bantar/Sardar",""
"Female","8"
"Male","7"
"","15"
"Bhote",""
"Female","5"
"Male","8"
"","13"
"Brahman - Hill",""
"Female","12939"
"Male","12772"
"","25711"
"Brahman - Tarai",""
"Female","370"
"Male","426"
"","796"
"Chhetri",""
"Female","15300"
"Male","15030"
"","30330"
"Dalit Others",""
"Female","394"
"Male","353"
"","747"
"Damai/Dholi",""
"Female","1249"
"Male","1061"
"","2310"
"Dhanuk",""
"Female","41"
"Male","42"
"","83"
"Dhobi",""
"Female","17"
"Male","17"
"","34"
"Foreigner",""
"Female","17"
"Male","18"
"","35"
"Ghale",""
"Female","7"
"Male","4"
"","11"
"Gharti/Bhujel",""
"Female","16"
"Male","13"
"","29"
"Gurung",""
"Female","218"
"Male","166"
"","384"
"Hajam/Thakur",""
"Female","50"
"Male","54"
"","104"
"Halwai",""
"Female","148"
"Male","190"
"","338"
"Kalwar",""
"Female","33"
"Male","51"
"","84"
"Kami",""
"Female","4553"
"Male","3893"
"","8446"
"Kanu",""
"Female","6"
"Male","5"
"","11"
"Kathabaniyan",""
"Female","253"
"Male","300"
"","553"
"Kayastha",""
"Female","58"
"Male","75"
"","133"
"Koiri/Kushwaha",""
"Female","7"
"Male","9"
"","16"
"Kumal",""
"Female","27"
"Male","36"
"","63"
"Kurmi",""
"Female","39"
"Male","47"
"","86"
"Limbu",""
"Female","40"
"Male","34"
"","74"
"Lohar",""
"Female","152"
"Male","136"
"","288"
"Magar",""
"Female","1938"
"Male","1940"
"","3878"
"Majhi",""
"Female","32"
"Male","31"
"","63"
"Mallaha",""
"Female","11"
"Male","16"
"","27"
"Marwadi",""
"Female","139"
"Male","179"
"","318"
"Musahar",""
"Female","58"
"Male","57"
"","115"
"Musalman",""
"Female","1035"
"Male","1204"
"","2239"
"Newar",""
"Female","861"
"Male","833"
"","1694"
"Others",""
"Female","48"
"Male","43"
"","91"
"Punjabi/Sikh",""
"Female","8"
"Male","10"
"","18"
"Rai",""
"Female","144"
"Male","141"
"","285"
"Raji",""
"Female","20"
"Male","21"
"","41"
"Rajput",""
"Female","32"
"Male","40"
"","72"
"Sanyasi/Dasnami",""
"Female","361"
"Male","337"
"","698"
"Sarki",""
"Female","951"
"Male","782"
"","1733"
"Sherpa",""
"Female","7"
"Male","10"
"","17"
"Sonar",""
"Female","5"
"Male","8"
"","13"
"Sudhi",""
"Female","12"
"Male","27"
"","39"
"Sunuwar",""
"Female","7"
"Male","9"
"","16"
"Tamang",""
"Female","699"
"Male","616"
"","1315"
"Teli",""
"Female","40"
"Male","59"
"","99"
"Terai Others",""
"Female","165"
"Male","151"
"","316"
"Thakali",""
"Female","9"
"Male","10"
"","19"
"Thakuri",""
"Female","4585"
"Male","4489"
"","9074"
"Tharu",""
"Female","26939"
"Male","27447"
"","54386"
"Yadav",""
"Female","74"
"Male","105"
"","179"
