"Agricultural land use area","Hectare"
"Area under arable land","41652.44"
"Area under meadows and pasture","34.67"
"Area under permanent crops","299.34"
"Area under Temporary crops","41275.64"
"Area under temporary fallow","349.73"
"Area under temporary meadows","27.07"
"Other land","2040.96"
"Ponds","31.81"
"Woodland and forest","60.91"
