"Population by Mother tongue","Number"
"Avadhi",""
"Female","55552"
"Male","60723"
"Bangla",""
"Female","71"
"Male","109"
"Bhojpuri",""
"Female","188"
"Male","223"
"Chepang",""
"Female","6"
"Male","7"
"Danuwar",""
"Female","12"
"Male","6"
"Doteli",""
"Female","654"
"Male","648"
"English",""
"Female","6"
"Male","7"
"Gurung",""
"Female","243"
"Male","203"
"Hindi",""
"Female","1679"
"Male","1866"
"Kham",""
"Female","35"
"Male","39"
"Limbu",""
"Female","35"
"Male","33"
"Magar",""
"Female","2516"
"Male","2041"
"Maithili",""
"Female","2180"
"Male","2440"
"Nepali",""
"Female","100366"
"Male","88937"
"Newar",""
"Female","1008"
"Male","997"
"Not Reported",""
"Female","127"
"Male","138"
"Others",""
"Female","188"
"Male","160"
"Punjabi",""
"Female","61"
"Male","55"
"Rai",""
"Female","96"
"Male","107"
"Rajsthani",""
"Female","60"
"Male","68"
"Santhali",""
"Female","7"
"Male","5"
"Sherpa",""
"Female","47"
"Male","38"
"Tamang",""
"Female","155"
"Male","141"
"Tharu",""
"Female","35734"
"Male","34175"
"Uranw/Urau",""
"Female","7"
"Male","11"
"Urdu",""
"Female","44961"
"Male","45993"
