"Population by Religion","Number"
"Bahai","0"
"Bon","0"
"Buddism","966"
"Christianity","201"
"Hindu","23067"
"Islam","7"
"Jainism","0"
"Kirat","0"
"Prakriti","3"
"Sikhism","0"
"Undefined","1"
"Total","24245"
