"Industries Types","Number"
"Accommodation and food","1091"
"Administrative and support service activity","12"
"Agriculture, forestry and fishing","134"
"Art, entertainment and recreation","12"
"Construction","3"
"Education","482"
"Electricty gas and water","4"
"Financial intermediation and insurance","164"
"Health and social work","140"
"Information and communications","12"
"Manufacturing","869"
"Mining and quarrying","2"
"Other service activities","236"
"Professional,scientific and techniqual activity","63"
"Real state, renting and business activities","0"
"Transport and storage","21"
"Water supply, wet management","4"
"Wholesale and retail trade","4161"
"Total","7410"
