"Industries Employment","Number"
"Accommodation,  food",""
"Female","1209"
"Male","1093"
"Administrative, support service",""
"Female","3"
"Male","16"
"Agriculture, forestry and  fishing",""
"Female","220"
"Male","293"
"Arts, entertainment, recreation",""
"Female","9"
"Male","26"
"Construction",""
"Female","0"
"Male","9"
"Education",""
"Female","2729"
"Male","2976"
"Electricity, gas and water",""
"Female","3"
"Male","28"
"Financial intermediation and insurance",""
"Female","493"
"Male","459"
"Health, social work",""
"Female","669"
"Male","291"
"Information and communication",""
"Female","24"
"Male","41"
"Manufacturing",""
"Female","555"
"Male","1568"
"Other service activities",""
"Female","242"
"Male","395"
"Professional, scientific, techniqual activity",""
"Female","38"
"Male","72"
"Real estate, renting and business activity",""
"Female","0"
"Male","0"
"Transportation,  storage",""
"Female","37"
"Male","92"
"Water supply, wet management",""
"Female","4"
"Male","12"
"Wholesale, retail trade",""
"Female","3690"
"Male","3631"
