"Agricultural land use area","Hectare"
"Area under arable land","20032.00"
"Area under meadows and pasture","320.00"
"Area under permanent crops","2730.00"
"Area under Temporary crops","19397.00"
"Area under temporary fallow","447.00"
"Area under temporary meadows","189.00"
"Other land","1238.00"
"Ponds","0.00"
"Woodland and forest","533.00"
"Total","44886.00"
