"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas Fuel","31"
"Cow Dung","69"
"Electricity Fuel","11"
"KeroseneFuel","44"
"LP Gas","954"
"Not Sated about Fuel","180"
"OthersFuel","40"
"Wood/FireWood","42406"
"Total","43735"
