"Agricultural land use area","Hectare"
"Area under arable land","35745.00"
"Area under meadows and pasture","216.00"
"Area under permanent crops","1377.00"
"Area under Temporary crops","35396.00"
"Area under temporary fallow","301.00"
"Area under temporary meadows","48.00"
"Other land","2721.00"
"Ponds","183.00"
"Woodland and forest","389.00"
"Total","76376.00"
