"Number of Households by Type of Roof","Number"
"Galvanized Iron Plate","67555"
"Mud Roof","0"
"Not Sated Roof","1252"
"Other Type of Roof","566"
"RCC Roof","40966"
"Thatch/Straw Roof","15739"
"Tile/Slate Roof","5938"
"Wood/Planks Roof","329"
"Total","132345"
