"Population by Five Years Age Group","Number"
"0-4",""
"Female","1089"
"Male","1100"
"10-14",""
"Female","878"
"Male","928"
"15-19",""
"Female","710"
"Male","665"
"20-24",""
"Female","559"
"Male","512"
"25-29",""
"Female","477"
"Male","412"
"30-34",""
"Female","371"
"Male","337"
"35-39",""
"Female","364"
"Male","411"
"40-44",""
"Female","266"
"Male","293"
"45-49",""
"Female","227"
"Male","281"
"50-54",""
"Female","181"
"Male","208"
"55-59",""
"Female","153"
"Male","234"
"5-9",""
"Female","1092"
"Male","1071"
"60-64",""
"Female","219"
"Male","215"
"65-69",""
"Female","105"
"Male","106"
"70-74",""
"Female","28"
"Male","48"
"75+",""
"Female","22"
"Male","45"
