"Population by Religion","Number"
"Bahai","1"
"Bon","0"
"Buddism","2"
"Christianity","7"
"Hindu","39172"
"Islam","0"
"Jainism","0"
"Kirat","0"
"Prakriti","1"
"Sikhism","0"
"Undefined","7"
"Total","39190"
