"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas Fuel","25307"
"Cow Dung","88751"
"Electricity Fuel","312"
"KeroseneFuel","6043"
"LP Gas","128567"
"Not Sated about Fuel","4570"
"OthersFuel","1775"
"Wood/FireWood","629432"
"Total","884757"
