"Number of Households by Type of Roof","Number"
"Galvanized Iron Plate","200439"
"Mud Roof","2784"
"Not Sated Roof","8337"
"Other Type of Roof","3357"
"RCC Roof","254884"
"Thatch/Straw Roof","205723"
"Tile/Slate Roof","204941"
"Wood/Planks Roof","4292"
"Total","884757"
