"Number of households by type of outer wall","Number"
"BambooWall","69919"
"Cement Bonded Bricks/Stone Wall","238846"
"Mud Bonded Bricks/Stone Wall","435200"
"Not Stated about Wall","7905"
"Other Type Wall","61704"
"Unbaked Bricks","44317"
"Wood/Planks","26866"
"Total","884757"
