"Agricultural land use area","Hectare"
"Area under arable land","22917.00"
"Area under meadows and pasture","110.00"
"Area under permanent crops","4396.00"
"Area under Temporary crops","22197.00"
"Area under temporary fallow","648.00"
"Area under temporary meadows","73.00"
"Other land","950.00"
"Ponds","5.00"
"Woodland and forest","578.00"
"Total","51874.00"
