"Number of Households by Type of Roof","Number"
"Galvanized Iron Plate","39248"
"Mud Roof","7"
"Not Sated Roof","448"
"Other Type of Roof","308"
"RCC Roof","15042"
"Thatch/Straw Roof","17140"
"Tile/Slate Roof","13494"
"Wood/Planks Roof","358"
"Total","86045"
