"Number of households by type of outer wall","Number"
"BambooWall","1818"
"Cement Bonded Bricks/Stone Wall","25439"
"Mud Bonded Bricks/Stone Wall","38645"
"Not Stated about Wall","417"
"Other Type Wall","1427"
"Unbaked Bricks","204"
"Wood/Planks","18095"
"Total","86045"
