"Agricultural land use area","Hectare"
"Area under arable land","29103.00"
"Area under meadows and pasture","218.00"
"Area under permanent crops","351.00"
"Area under Temporary crops","28764.00"
"Area under temporary fallow","256.00"
"Area under temporary meadows","84.00"
"Other land","1789.00"
"Ponds","0.00"
"Woodland and forest","341.00"
"Total","60906.00"
